time,year,fish,port,landings
UTC,,,,pounds
1928-01-16T00:00:00Z,1928,"Anchovy, Northern",San Diego,0
1928-02-16T00:00:00Z,1928,"Anchovy, Northern",San Diego,0
1928-03-16T00:00:00Z,1928,"Anchovy, Northern",San Diego,0
1928-04-16T00:00:00Z,1928,"Anchovy, Northern",San Diego,730
1928-05-16T00:00:00Z,1928,"Anchovy, Northern",San Diego,0
1928-06-16T00:00:00Z,1928,"Anchovy, Northern",San Diego,0
1928-07-16T00:00:00Z,1928,"Anchovy, Northern",San Diego,0
1928-08-16T00:00:00Z,1928,"Anchovy, Northern",San Diego,0
1928-09-16T00:00:00Z,1928,"Anchovy, Northern",San Diego,0
1928-10-16T00:00:00Z,1928,"Anchovy, Northern",San Diego,0
1928-11-16T00:00:00Z,1928,"Anchovy, Northern",San Diego,0
1928-12-16T00:00:00Z,1928,"Anchovy, Northern",San Diego,0
1929-01-16T00:00:00Z,1929,"Anchovy, Northern",San Diego,0
1929-02-16T00:00:00Z,1929,"Anchovy, Northern",San Diego,0
1929-03-16T00:00:00Z,1929,"Anchovy, Northern",San Diego,0
1929-04-16T00:00:00Z,1929,"Anchovy, Northern",San Diego,0
1929-05-16T00:00:00Z,1929,"Anchovy, Northern",San Diego,0
1929-06-16T00:00:00Z,1929,"Anchovy, Northern",San Diego,0
1929-07-16T00:00:00Z,1929,"Anchovy, Northern",San Diego,0
1929-08-16T00:00:00Z,1929,"Anchovy, Northern",San Diego,0
1929-09-16T00:00:00Z,1929,"Anchovy, Northern",San Diego,0
1929-10-16T00:00:00Z,1929,"Anchovy, Northern",San Diego,0
1929-11-16T00:00:00Z,1929,"Anchovy, Northern",San Diego,0
1929-12-16T00:00:00Z,1929,"Anchovy, Northern",San Diego,0
1930-01-16T00:00:00Z,1930,"Anchovy, Northern",San Diego,0
1930-02-16T00:00:00Z,1930,"Anchovy, Northern",San Diego,0
1930-03-16T00:00:00Z,1930,"Anchovy, Northern",San Diego,0
1930-04-16T00:00:00Z,1930,"Anchovy, Northern",San Diego,0
1930-05-16T00:00:00Z,1930,"Anchovy, Northern",San Diego,0
1930-06-16T00:00:00Z,1930,"Anchovy, Northern",San Diego,3900
1930-07-16T00:00:00Z,1930,"Anchovy, Northern",San Diego,0
1930-08-16T00:00:00Z,1930,"Anchovy, Northern",San Diego,0
1930-09-16T00:00:00Z,1930,"Anchovy, Northern",San Diego,0
1930-10-16T00:00:00Z,1930,"Anchovy, Northern",San Diego,0
1930-11-16T00:00:00Z,1930,"Anchovy, Northern",San Diego,0
1930-12-16T00:00:00Z,1930,"Anchovy, Northern",San Diego,0
1931-01-16T00:00:00Z,1931,"Anchovy, Northern",San Diego,0
1931-02-16T00:00:00Z,1931,"Anchovy, Northern",San Diego,0
1931-03-16T00:00:00Z,1931,"Anchovy, Northern",San Diego,0
1931-04-16T00:00:00Z,1931,"Anchovy, Northern",San Diego,0
1931-05-16T00:00:00Z,1931,"Anchovy, Northern",San Diego,0
1931-06-16T00:00:00Z,1931,"Anchovy, Northern",San Diego,0
1931-07-16T00:00:00Z,1931,"Anchovy, Northern",San Diego,0
1931-08-16T00:00:00Z,1931,"Anchovy, Northern",San Diego,240
1931-09-16T00:00:00Z,1931,"Anchovy, Northern",San Diego,0
1931-10-16T00:00:00Z,1931,"Anchovy, Northern",San Diego,0
1931-11-16T00:00:00Z,1931,"Anchovy, Northern",San Diego,0
1931-12-16T00:00:00Z,1931,"Anchovy, Northern",San Diego,0
1932-01-16T00:00:00Z,1932,"Anchovy, Northern",San Diego,0
1932-02-16T00:00:00Z,1932,"Anchovy, Northern",San Diego,0
1932-03-16T00:00:00Z,1932,"Anchovy, Northern",San Diego,0
1932-04-16T00:00:00Z,1932,"Anchovy, Northern",San Diego,0
1932-05-16T00:00:00Z,1932,"Anchovy, Northern",San Diego,0
1932-06-16T00:00:00Z,1932,"Anchovy, Northern",San Diego,0
1932-07-16T00:00:00Z,1932,"Anchovy, Northern",San Diego,0
1932-08-16T00:00:00Z,1932,"Anchovy, Northern",San Diego,0
1932-09-16T00:00:00Z,1932,"Anchovy, Northern",San Diego,0
1932-10-16T00:00:00Z,1932,"Anchovy, Northern",San Diego,0
1932-11-16T00:00:00Z,1932,"Anchovy, Northern",San Diego,0
1932-12-16T00:00:00Z,1932,"Anchovy, Northern",San Diego,0
1933-01-16T00:00:00Z,1933,"Anchovy, Northern",San Diego,0
1933-02-16T00:00:00Z,1933,"Anchovy, Northern",San Diego,0
1933-03-16T00:00:00Z,1933,"Anchovy, Northern",San Diego,0
1933-04-16T00:00:00Z,1933,"Anchovy, Northern",San Diego,0
1933-05-16T00:00:00Z,1933,"Anchovy, Northern",San Diego,0
1933-06-16T00:00:00Z,1933,"Anchovy, Northern",San Diego,0
1933-07-16T00:00:00Z,1933,"Anchovy, Northern",San Diego,0
1933-08-16T00:00:00Z,1933,"Anchovy, Northern",San Diego,0
1933-09-16T00:00:00Z,1933,"Anchovy, Northern",San Diego,0
1933-10-16T00:00:00Z,1933,"Anchovy, Northern",San Diego,0
1933-11-16T00:00:00Z,1933,"Anchovy, Northern",San Diego,0
1933-12-16T00:00:00Z,1933,"Anchovy, Northern",San Diego,0
1934-01-16T00:00:00Z,1934,"Anchovy, Northern",San Diego,0
1934-02-16T00:00:00Z,1934,"Anchovy, Northern",San Diego,0
1934-03-16T00:00:00Z,1934,"Anchovy, Northern",San Diego,0
1934-04-16T00:00:00Z,1934,"Anchovy, Northern",San Diego,0
1934-05-16T00:00:00Z,1934,"Anchovy, Northern",San Diego,0
1934-06-16T00:00:00Z,1934,"Anchovy, Northern",San Diego,0
1934-07-16T00:00:00Z,1934,"Anchovy, Northern",San Diego,0
1934-08-16T00:00:00Z,1934,"Anchovy, Northern",San Diego,0
1934-09-16T00:00:00Z,1934,"Anchovy, Northern",San Diego,0
1934-10-16T00:00:00Z,1934,"Anchovy, Northern",San Diego,0
1934-11-16T00:00:00Z,1934,"Anchovy, Northern",San Diego,0
1934-12-16T00:00:00Z,1934,"Anchovy, Northern",San Diego,0
1935-01-16T00:00:00Z,1935,"Anchovy, Northern",San Diego,0
1935-02-16T00:00:00Z,1935,"Anchovy, Northern",San Diego,0
1935-03-16T00:00:00Z,1935,"Anchovy, Northern",San Diego,0
1935-04-16T00:00:00Z,1935,"Anchovy, Northern",San Diego,0
1935-05-16T00:00:00Z,1935,"Anchovy, Northern",San Diego,0
1935-06-16T00:00:00Z,1935,"Anchovy, Northern",San Diego,0
1935-07-16T00:00:00Z,1935,"Anchovy, Northern",San Diego,0
1935-08-16T00:00:00Z,1935,"Anchovy, Northern",San Diego,0
1935-09-16T00:00:00Z,1935,"Anchovy, Northern",San Diego,0
1935-10-16T00:00:00Z,1935,"Anchovy, Northern",San Diego,0
1935-11-16T00:00:00Z,1935,"Anchovy, Northern",San Diego,0
1935-12-16T00:00:00Z,1935,"Anchovy, Northern",San Diego,0
1936-01-16T00:00:00Z,1936,"Anchovy, Northern",San Diego,0
1936-02-16T00:00:00Z,1936,"Anchovy, Northern",San Diego,0
1936-03-16T00:00:00Z,1936,"Anchovy, Northern",San Diego,0
1936-04-16T00:00:00Z,1936,"Anchovy, Northern",San Diego,0
1936-05-16T00:00:00Z,1936,"Anchovy, Northern",San Diego,0
1936-06-16T00:00:00Z,1936,"Anchovy, Northern",San Diego,0
1936-07-16T00:00:00Z,1936,"Anchovy, Northern",San Diego,0
1936-08-16T00:00:00Z,1936,"Anchovy, Northern",San Diego,0
1936-09-16T00:00:00Z,1936,"Anchovy, Northern",San Diego,0
1936-10-16T00:00:00Z,1936,"Anchovy, Northern",San Diego,0
1936-11-16T00:00:00Z,1936,"Anchovy, Northern",San Diego,0
1936-12-16T00:00:00Z,1936,"Anchovy, Northern",San Diego,0
1937-01-16T00:00:00Z,1937,"Anchovy, Northern",San Diego,0
1937-02-16T00:00:00Z,1937,"Anchovy, Northern",San Diego,0
1937-03-16T00:00:00Z,1937,"Anchovy, Northern",San Diego,0
1937-04-16T00:00:00Z,1937,"Anchovy, Northern",San Diego,0
1937-05-16T00:00:00Z,1937,"Anchovy, Northern",San Diego,0
1937-06-16T00:00:00Z,1937,"Anchovy, Northern",San Diego,0
1937-07-16T00:00:00Z,1937,"Anchovy, Northern",San Diego,0
1937-08-16T00:00:00Z,1937,"Anchovy, Northern",San Diego,0
1937-09-16T00:00:00Z,1937,"Anchovy, Northern",San Diego,0
1937-10-16T00:00:00Z,1937,"Anchovy, Northern",San Diego,0
1937-11-16T00:00:00Z,1937,"Anchovy, Northern",San Diego,0
1937-12-16T00:00:00Z,1937,"Anchovy, Northern",San Diego,0
1938-01-16T00:00:00Z,1938,"Anchovy, Northern",San Diego,0
1938-02-16T00:00:00Z,1938,"Anchovy, Northern",San Diego,0
1938-03-16T00:00:00Z,1938,"Anchovy, Northern",San Diego,0
1938-04-16T00:00:00Z,1938,"Anchovy, Northern",San Diego,0
1938-05-16T00:00:00Z,1938,"Anchovy, Northern",San Diego,0
1938-06-16T00:00:00Z,1938,"Anchovy, Northern",San Diego,0
1938-07-16T00:00:00Z,1938,"Anchovy, Northern",San Diego,0
1938-08-16T00:00:00Z,1938,"Anchovy, Northern",San Diego,0
1938-09-16T00:00:00Z,1938,"Anchovy, Northern",San Diego,0
1938-10-16T00:00:00Z,1938,"Anchovy, Northern",San Diego,0
1938-11-16T00:00:00Z,1938,"Anchovy, Northern",San Diego,0
1938-12-16T00:00:00Z,1938,"Anchovy, Northern",San Diego,0
1939-01-16T00:00:00Z,1939,"Anchovy, Northern",San Diego,0
1939-02-16T00:00:00Z,1939,"Anchovy, Northern",San Diego,0
1939-03-16T00:00:00Z,1939,"Anchovy, Northern",San Diego,0
1939-04-16T00:00:00Z,1939,"Anchovy, Northern",San Diego,0
1939-05-16T00:00:00Z,1939,"Anchovy, Northern",San Diego,0
1939-06-16T00:00:00Z,1939,"Anchovy, Northern",San Diego,0
1939-07-16T00:00:00Z,1939,"Anchovy, Northern",San Diego,0
1939-08-16T00:00:00Z,1939,"Anchovy, Northern",San Diego,0
1939-09-16T00:00:00Z,1939,"Anchovy, Northern",San Diego,0
1939-10-16T00:00:00Z,1939,"Anchovy, Northern",San Diego,0
1939-11-16T00:00:00Z,1939,"Anchovy, Northern",San Diego,0
1939-12-16T00:00:00Z,1939,"Anchovy, Northern",San Diego,0
1940-01-16T00:00:00Z,1940,"Anchovy, Northern",San Diego,0
1940-02-16T00:00:00Z,1940,"Anchovy, Northern",San Diego,0
1940-03-16T00:00:00Z,1940,"Anchovy, Northern",San Diego,0
1940-04-16T00:00:00Z,1940,"Anchovy, Northern",San Diego,0
1940-05-16T00:00:00Z,1940,"Anchovy, Northern",San Diego,0
1940-06-16T00:00:00Z,1940,"Anchovy, Northern",San Diego,0
1940-07-16T00:00:00Z,1940,"Anchovy, Northern",San Diego,0
1940-08-16T00:00:00Z,1940,"Anchovy, Northern",San Diego,0
1940-09-16T00:00:00Z,1940,"Anchovy, Northern",San Diego,0
1940-10-16T00:00:00Z,1940,"Anchovy, Northern",San Diego,0
1940-11-16T00:00:00Z,1940,"Anchovy, Northern",San Diego,0
1940-12-16T00:00:00Z,1940,"Anchovy, Northern",San Diego,14755
1941-01-16T00:00:00Z,1941,"Anchovy, Northern",San Diego,0
1941-02-16T00:00:00Z,1941,"Anchovy, Northern",San Diego,0
1941-03-16T00:00:00Z,1941,"Anchovy, Northern",San Diego,0
1941-04-16T00:00:00Z,1941,"Anchovy, Northern",San Diego,0
1941-05-16T00:00:00Z,1941,"Anchovy, Northern",San Diego,0
1941-06-16T00:00:00Z,1941,"Anchovy, Northern",San Diego,0
1941-07-16T00:00:00Z,1941,"Anchovy, Northern",San Diego,0
1941-08-16T00:00:00Z,1941,"Anchovy, Northern",San Diego,0
1941-09-16T00:00:00Z,1941,"Anchovy, Northern",San Diego,0
1941-10-16T00:00:00Z,1941,"Anchovy, Northern",San Diego,0
1941-11-16T00:00:00Z,1941,"Anchovy, Northern",San Diego,0
1941-12-16T00:00:00Z,1941,"Anchovy, Northern",San Diego,0
1942-01-16T00:00:00Z,1942,"Anchovy, Northern",San Diego,0
1942-02-16T00:00:00Z,1942,"Anchovy, Northern",San Diego,0
1942-03-16T00:00:00Z,1942,"Anchovy, Northern",San Diego,0
