time,year,fish,port,landings
UTC,,,,pounds
1928-01-16T00:00:00Z,1928,"Sardine, Pacific",San Diego,1428702
1928-02-16T00:00:00Z,1928,"Sardine, Pacific",San Diego,2895707
1928-03-16T00:00:00Z,1928,"Sardine, Pacific",San Diego,1356470
1928-04-16T00:00:00Z,1928,"Sardine, Pacific",San Diego,281958
1928-05-16T00:00:00Z,1928,"Sardine, Pacific",San Diego,1033707
1928-06-16T00:00:00Z,1928,"Sardine, Pacific",San Diego,54075
1928-07-16T00:00:00Z,1928,"Sardine, Pacific",San Diego,5051
1928-08-16T00:00:00Z,1928,"Sardine, Pacific",San Diego,1011
1928-09-16T00:00:00Z,1928,"Sardine, Pacific",San Diego,2139
1928-10-16T00:00:00Z,1928,"Sardine, Pacific",San Diego,1990
1928-11-16T00:00:00Z,1928,"Sardine, Pacific",San Diego,30730
1928-12-16T00:00:00Z,1928,"Sardine, Pacific",San Diego,25020
1929-01-16T00:00:00Z,1929,"Sardine, Pacific",San Diego,534167
1929-02-16T00:00:00Z,1929,"Sardine, Pacific",San Diego,890087
1929-03-16T00:00:00Z,1929,"Sardine, Pacific",San Diego,1016439
1929-04-16T00:00:00Z,1929,"Sardine, Pacific",San Diego,121676
1929-05-16T00:00:00Z,1929,"Sardine, Pacific",San Diego,167887
1929-06-16T00:00:00Z,1929,"Sardine, Pacific",San Diego,28204
1929-07-16T00:00:00Z,1929,"Sardine, Pacific",San Diego,2445
1929-08-16T00:00:00Z,1929,"Sardine, Pacific",San Diego,1679
1929-09-16T00:00:00Z,1929,"Sardine, Pacific",San Diego,3064
1929-10-16T00:00:00Z,1929,"Sardine, Pacific",San Diego,738026
1929-11-16T00:00:00Z,1929,"Sardine, Pacific",San Diego,298395
1929-12-16T00:00:00Z,1929,"Sardine, Pacific",San Diego,127314
1930-01-16T00:00:00Z,1930,"Sardine, Pacific",San Diego,297576
1930-02-16T00:00:00Z,1930,"Sardine, Pacific",San Diego,1304798
1930-03-16T00:00:00Z,1930,"Sardine, Pacific",San Diego,1566572
1930-04-16T00:00:00Z,1930,"Sardine, Pacific",San Diego,743321
1930-05-16T00:00:00Z,1930,"Sardine, Pacific",San Diego,136803
1930-06-16T00:00:00Z,1930,"Sardine, Pacific",San Diego,88993
1930-07-16T00:00:00Z,1930,"Sardine, Pacific",San Diego,17429
1930-08-16T00:00:00Z,1930,"Sardine, Pacific",San Diego,8190
1930-09-16T00:00:00Z,1930,"Sardine, Pacific",San Diego,3955
1930-10-16T00:00:00Z,1930,"Sardine, Pacific",San Diego,3111
1930-11-16T00:00:00Z,1930,"Sardine, Pacific",San Diego,1234
1930-12-16T00:00:00Z,1930,"Sardine, Pacific",San Diego,0
1931-01-16T00:00:00Z,1931,"Sardine, Pacific",San Diego,0
1931-02-16T00:00:00Z,1931,"Sardine, Pacific",San Diego,1150
1931-03-16T00:00:00Z,1931,"Sardine, Pacific",San Diego,19618
1931-04-16T00:00:00Z,1931,"Sardine, Pacific",San Diego,17554
1931-05-16T00:00:00Z,1931,"Sardine, Pacific",San Diego,5929
1931-06-16T00:00:00Z,1931,"Sardine, Pacific",San Diego,5284
1931-07-16T00:00:00Z,1931,"Sardine, Pacific",San Diego,75559
1931-08-16T00:00:00Z,1931,"Sardine, Pacific",San Diego,2420
1931-09-16T00:00:00Z,1931,"Sardine, Pacific",San Diego,1623
1931-10-16T00:00:00Z,1931,"Sardine, Pacific",San Diego,1616
1931-11-16T00:00:00Z,1931,"Sardine, Pacific",San Diego,1413
1931-12-16T00:00:00Z,1931,"Sardine, Pacific",San Diego,0
1932-01-16T00:00:00Z,1932,"Sardine, Pacific",San Diego,0
1932-02-16T00:00:00Z,1932,"Sardine, Pacific",San Diego,0
1932-03-16T00:00:00Z,1932,"Sardine, Pacific",San Diego,2860
1932-04-16T00:00:00Z,1932,"Sardine, Pacific",San Diego,30448
1932-05-16T00:00:00Z,1932,"Sardine, Pacific",San Diego,407838
1932-06-16T00:00:00Z,1932,"Sardine, Pacific",San Diego,86180
1932-07-16T00:00:00Z,1932,"Sardine, Pacific",San Diego,15710
1932-08-16T00:00:00Z,1932,"Sardine, Pacific",San Diego,505
1932-09-16T00:00:00Z,1932,"Sardine, Pacific",San Diego,395
1932-10-16T00:00:00Z,1932,"Sardine, Pacific",San Diego,236
1932-11-16T00:00:00Z,1932,"Sardine, Pacific",San Diego,740
1932-12-16T00:00:00Z,1932,"Sardine, Pacific",San Diego,85
1933-01-16T00:00:00Z,1933,"Sardine, Pacific",San Diego,270
1933-02-16T00:00:00Z,1933,"Sardine, Pacific",San Diego,977
1933-03-16T00:00:00Z,1933,"Sardine, Pacific",San Diego,835
1933-04-16T00:00:00Z,1933,"Sardine, Pacific",San Diego,2344
1933-05-16T00:00:00Z,1933,"Sardine, Pacific",San Diego,15932
1933-06-16T00:00:00Z,1933,"Sardine, Pacific",San Diego,315194
1933-07-16T00:00:00Z,1933,"Sardine, Pacific",San Diego,1281
1933-08-16T00:00:00Z,1933,"Sardine, Pacific",San Diego,498
1933-09-16T00:00:00Z,1933,"Sardine, Pacific",San Diego,1397
1933-10-16T00:00:00Z,1933,"Sardine, Pacific",San Diego,931
1933-11-16T00:00:00Z,1933,"Sardine, Pacific",San Diego,192932
1933-12-16T00:00:00Z,1933,"Sardine, Pacific",San Diego,0
1934-01-16T00:00:00Z,1934,"Sardine, Pacific",San Diego,1170415
1934-02-16T00:00:00Z,1934,"Sardine, Pacific",San Diego,1360010
1934-03-16T00:00:00Z,1934,"Sardine, Pacific",San Diego,447210
1934-04-16T00:00:00Z,1934,"Sardine, Pacific",San Diego,1700
1934-05-16T00:00:00Z,1934,"Sardine, Pacific",San Diego,0
1934-06-16T00:00:00Z,1934,"Sardine, Pacific",San Diego,1200
1934-07-16T00:00:00Z,1934,"Sardine, Pacific",San Diego,47
1934-08-16T00:00:00Z,1934,"Sardine, Pacific",San Diego,0
1934-09-16T00:00:00Z,1934,"Sardine, Pacific",San Diego,450
1934-10-16T00:00:00Z,1934,"Sardine, Pacific",San Diego,100
1934-11-16T00:00:00Z,1934,"Sardine, Pacific",San Diego,244326
1934-12-16T00:00:00Z,1934,"Sardine, Pacific",San Diego,825854
1935-01-16T00:00:00Z,1935,"Sardine, Pacific",San Diego,4179298
1935-02-16T00:00:00Z,1935,"Sardine, Pacific",San Diego,3992971
1935-03-16T00:00:00Z,1935,"Sardine, Pacific",San Diego,481261
1935-04-16T00:00:00Z,1935,"Sardine, Pacific",San Diego,0
1935-05-16T00:00:00Z,1935,"Sardine, Pacific",San Diego,0
1935-06-16T00:00:00Z,1935,"Sardine, Pacific",San Diego,0
1935-07-16T00:00:00Z,1935,"Sardine, Pacific",San Diego,0
1935-08-16T00:00:00Z,1935,"Sardine, Pacific",San Diego,0
1935-09-16T00:00:00Z,1935,"Sardine, Pacific",San Diego,0
1935-10-16T00:00:00Z,1935,"Sardine, Pacific",San Diego,60
1935-11-16T00:00:00Z,1935,"Sardine, Pacific",San Diego,572060
1935-12-16T00:00:00Z,1935,"Sardine, Pacific",San Diego,4872743
1936-01-16T00:00:00Z,1936,"Sardine, Pacific",San Diego,5468906
1936-02-16T00:00:00Z,1936,"Sardine, Pacific",San Diego,6933457
1936-03-16T00:00:00Z,1936,"Sardine, Pacific",San Diego,3128826
1936-04-16T00:00:00Z,1936,"Sardine, Pacific",San Diego,102199
1936-05-16T00:00:00Z,1936,"Sardine, Pacific",San Diego,221420
1936-06-16T00:00:00Z,1936,"Sardine, Pacific",San Diego,0
