time,year,fish,port,landings
UTC,,,,pounds
1928-01-16T00:00:00Z,1928,"Sardine, Pacific",All,40874524
1928-02-16T00:00:00Z,1928,"Sardine, Pacific",All,95819881
1928-03-16T00:00:00Z,1928,"Sardine, Pacific",All,42943442
1928-04-16T00:00:00Z,1928,"Sardine, Pacific",All,4195019
1928-05-16T00:00:00Z,1928,"Sardine, Pacific",All,3380067
1928-06-16T00:00:00Z,1928,"Sardine, Pacific",All,385908
1928-07-16T00:00:00Z,1928,"Sardine, Pacific",All,235896
1928-08-16T00:00:00Z,1928,"Sardine, Pacific",All,45644447
1928-09-16T00:00:00Z,1928,"Sardine, Pacific",All,53001740
1928-10-16T00:00:00Z,1928,"Sardine, Pacific",All,46653053
1928-11-16T00:00:00Z,1928,"Sardine, Pacific",All,40252860
1928-12-16T00:00:00Z,1928,"Sardine, Pacific",All,46882828
1929-01-16T00:00:00Z,1929,"Sardine, Pacific",All,81706485
1929-02-16T00:00:00Z,1929,"Sardine, Pacific",All,91906120
1929-03-16T00:00:00Z,1929,"Sardine, Pacific",All,89516374
1929-04-16T00:00:00Z,1929,"Sardine, Pacific",All,2448330
1929-05-16T00:00:00Z,1929,"Sardine, Pacific",All,10418311
1929-06-16T00:00:00Z,1929,"Sardine, Pacific",All,274327
1929-07-16T00:00:00Z,1929,"Sardine, Pacific",All,276931
1929-08-16T00:00:00Z,1929,"Sardine, Pacific",All,49508614
1929-09-16T00:00:00Z,1929,"Sardine, Pacific",All,40106725
1929-10-16T00:00:00Z,1929,"Sardine, Pacific",All,71963604
1929-11-16T00:00:00Z,1929,"Sardine, Pacific",All,109930809
1929-12-16T00:00:00Z,1929,"Sardine, Pacific",All,103715274
1930-01-16T00:00:00Z,1930,"Sardine, Pacific",All,105098219
1930-02-16T00:00:00Z,1930,"Sardine, Pacific",All,102915231
1930-03-16T00:00:00Z,1930,"Sardine, Pacific",All,65281687
1930-04-16T00:00:00Z,1930,"Sardine, Pacific",All,1031638
1930-05-16T00:00:00Z,1930,"Sardine, Pacific",All,309730
1930-06-16T00:00:00Z,1930,"Sardine, Pacific",All,332222
1930-07-16T00:00:00Z,1930,"Sardine, Pacific",All,422066
1930-08-16T00:00:00Z,1930,"Sardine, Pacific",All,30248822
1930-09-16T00:00:00Z,1930,"Sardine, Pacific",All,43714053
1930-10-16T00:00:00Z,1930,"Sardine, Pacific",All,68099559
1930-11-16T00:00:00Z,1930,"Sardine, Pacific",All,49774173
1930-12-16T00:00:00Z,1930,"Sardine, Pacific",All,27223347
1931-01-16T00:00:00Z,1931,"Sardine, Pacific",All,44091514
1931-02-16T00:00:00Z,1931,"Sardine, Pacific",All,62888581
1931-03-16T00:00:00Z,1931,"Sardine, Pacific",All,20846597
1931-04-16T00:00:00Z,1931,"Sardine, Pacific",All,313702
1931-05-16T00:00:00Z,1931,"Sardine, Pacific",All,362144
1931-06-16T00:00:00Z,1931,"Sardine, Pacific",All,402784
1931-07-16T00:00:00Z,1931,"Sardine, Pacific",All,487686
1931-08-16T00:00:00Z,1931,"Sardine, Pacific",All,8543104
1931-09-16T00:00:00Z,1931,"Sardine, Pacific",All,32952817
1931-10-16T00:00:00Z,1931,"Sardine, Pacific",All,32499751
1931-11-16T00:00:00Z,1931,"Sardine, Pacific",All,43426772
1931-12-16T00:00:00Z,1931,"Sardine, Pacific",All,54492349
1932-01-16T00:00:00Z,1932,"Sardine, Pacific",All,45804866
1932-02-16T00:00:00Z,1932,"Sardine, Pacific",All,36422593
1932-03-16T00:00:00Z,1932,"Sardine, Pacific",All,11111685
1932-04-16T00:00:00Z,1932,"Sardine, Pacific",All,287972
1932-05-16T00:00:00Z,1932,"Sardine, Pacific",All,777651
1932-06-16T00:00:00Z,1932,"Sardine, Pacific",All,528020
1932-07-16T00:00:00Z,1932,"Sardine, Pacific",All,399452
1932-08-16T00:00:00Z,1932,"Sardine, Pacific",All,2571573
1932-09-16T00:00:00Z,1932,"Sardine, Pacific",All,32745132
1932-10-16T00:00:00Z,1932,"Sardine, Pacific",All,48520656
1932-11-16T00:00:00Z,1932,"Sardine, Pacific",All,62484399
1932-12-16T00:00:00Z,1932,"Sardine, Pacific",All,70517651
1933-01-16T00:00:00Z,1933,"Sardine, Pacific",All,79250350
1933-02-16T00:00:00Z,1933,"Sardine, Pacific",All,56320747
1933-03-16T00:00:00Z,1933,"Sardine, Pacific",All,30031632
1933-04-16T00:00:00Z,1933,"Sardine, Pacific",All,202409
1933-05-16T00:00:00Z,1933,"Sardine, Pacific",All,228104
1933-06-16T00:00:00Z,1933,"Sardine, Pacific",All,591802
