time,year,fish,port,landings
UTC,,,,pounds
1928-01-16T00:00:00Z,1928,"Anchovy, Northern",All,1190
1928-02-16T00:00:00Z,1928,"Anchovy, Northern",All,155
1928-03-16T00:00:00Z,1928,"Anchovy, Northern",All,0
1928-04-16T00:00:00Z,1928,"Anchovy, Northern",All,23137
1928-05-16T00:00:00Z,1928,"Anchovy, Northern",All,187335
1928-06-16T00:00:00Z,1928,"Anchovy, Northern",All,48804
1928-07-16T00:00:00Z,1928,"Anchovy, Northern",All,12031
1928-08-16T00:00:00Z,1928,"Anchovy, Northern",All,43543
1928-09-16T00:00:00Z,1928,"Anchovy, Northern",All,30680
1928-10-16T00:00:00Z,1928,"Anchovy, Northern",All,9905
1928-11-16T00:00:00Z,1928,"Anchovy, Northern",All,345
1928-12-16T00:00:00Z,1928,"Anchovy, Northern",All,345
1929-01-16T00:00:00Z,1929,"Anchovy, Northern",All,3455
1929-02-16T00:00:00Z,1929,"Anchovy, Northern",All,1532
1929-03-16T00:00:00Z,1929,"Anchovy, Northern",All,16910
1929-04-16T00:00:00Z,1929,"Anchovy, Northern",All,61923
1929-05-16T00:00:00Z,1929,"Anchovy, Northern",All,40320
1929-06-16T00:00:00Z,1929,"Anchovy, Northern",All,57395
1929-07-16T00:00:00Z,1929,"Anchovy, Northern",All,62486
1929-08-16T00:00:00Z,1929,"Anchovy, Northern",All,64940
1929-09-16T00:00:00Z,1929,"Anchovy, Northern",All,39700
1929-10-16T00:00:00Z,1929,"Anchovy, Northern",All,16704
1929-11-16T00:00:00Z,1929,"Anchovy, Northern",All,15640
1929-12-16T00:00:00Z,1929,"Anchovy, Northern",All,1440
1930-01-16T00:00:00Z,1930,"Anchovy, Northern",All,35
1930-02-16T00:00:00Z,1930,"Anchovy, Northern",All,195
1930-03-16T00:00:00Z,1930,"Anchovy, Northern",All,637
1930-04-16T00:00:00Z,1930,"Anchovy, Northern",All,15070
1930-05-16T00:00:00Z,1930,"Anchovy, Northern",All,60640
1930-06-16T00:00:00Z,1930,"Anchovy, Northern",All,51030
1930-07-16T00:00:00Z,1930,"Anchovy, Northern",All,69093
1930-08-16T00:00:00Z,1930,"Anchovy, Northern",All,64095
1930-09-16T00:00:00Z,1930,"Anchovy, Northern",All,36880
1930-10-16T00:00:00Z,1930,"Anchovy, Northern",All,13040
1930-11-16T00:00:00Z,1930,"Anchovy, Northern",All,8786
1930-12-16T00:00:00Z,1930,"Anchovy, Northern",All,60
1931-01-16T00:00:00Z,1931,"Anchovy, Northern",All,139
1931-02-16T00:00:00Z,1931,"Anchovy, Northern",All,3269
1931-03-16T00:00:00Z,1931,"Anchovy, Northern",All,26107
1931-04-16T00:00:00Z,1931,"Anchovy, Northern",All,19330
1931-05-16T00:00:00Z,1931,"Anchovy, Northern",All,41657
1931-06-16T00:00:00Z,1931,"Anchovy, Northern",All,39603
1931-07-16T00:00:00Z,1931,"Anchovy, Northern",All,68032
1931-08-16T00:00:00Z,1931,"Anchovy, Northern",All,38944
1931-09-16T00:00:00Z,1931,"Anchovy, Northern",All,11560
1931-10-16T00:00:00Z,1931,"Anchovy, Northern",All,36720
1931-11-16T00:00:00Z,1931,"Anchovy, Northern",All,18953
1931-12-16T00:00:00Z,1931,"Anchovy, Northern",All,3180
1932-01-16T00:00:00Z,1932,"Anchovy, Northern",All,1267
1932-02-16T00:00:00Z,1932,"Anchovy, Northern",All,8997
1932-03-16T00:00:00Z,1932,"Anchovy, Northern",All,31707
1932-04-16T00:00:00Z,1932,"Anchovy, Northern",All,41609
1932-05-16T00:00:00Z,1932,"Anchovy, Northern",All,53205
1932-06-16T00:00:00Z,1932,"Anchovy, Northern",All,55576
1932-07-16T00:00:00Z,1932,"Anchovy, Northern",All,39337
1932-08-16T00:00:00Z,1932,"Anchovy, Northern",All,21579
1932-09-16T00:00:00Z,1932,"Anchovy, Northern",All,24230
1932-10-16T00:00:00Z,1932,"Anchovy, Northern",All,17060
1932-11-16T00:00:00Z,1932,"Anchovy, Northern",All,900
1932-12-16T00:00:00Z,1932,"Anchovy, Northern",All,3750
1933-01-16T00:00:00Z,1933,"Anchovy, Northern",All,285
1933-02-16T00:00:00Z,1933,"Anchovy, Northern",All,4675
1933-03-16T00:00:00Z,1933,"Anchovy, Northern",All,5773
1933-04-16T00:00:00Z,1933,"Anchovy, Northern",All,34546
1933-05-16T00:00:00Z,1933,"Anchovy, Northern",All,51954
1933-06-16T00:00:00Z,1933,"Anchovy, Northern",All,57843
1933-07-16T00:00:00Z,1933,"Anchovy, Northern",All,50116
1933-08-16T00:00:00Z,1933,"Anchovy, Northern",All,51200
1933-09-16T00:00:00Z,1933,"Anchovy, Northern",All,29703
1933-10-16T00:00:00Z,1933,"Anchovy, Northern",All,9523
1933-11-16T00:00:00Z,1933,"Anchovy, Northern",All,14365
1933-12-16T00:00:00Z,1933,"Anchovy, Northern",All,7309
1934-01-16T00:00:00Z,1934,"Anchovy, Northern",All,9516
1934-02-16T00:00:00Z,1934,"Anchovy, Northern",All,10806
1934-03-16T00:00:00Z,1934,"Anchovy, Northern",All,14321
1934-04-16T00:00:00Z,1934,"Anchovy, Northern",All,52325
1934-05-16T00:00:00Z,1934,"Anchovy, Northern",All,56801
1934-06-16T00:00:00Z,1934,"Anchovy, Northern",All,49960
1934-07-16T00:00:00Z,1934,"Anchovy, Northern",All,29397
1934-08-16T00:00:00Z,1934,"Anchovy, Northern",All,17877
1934-09-16T00:00:00Z,1934,"Anchovy, Northern",All,11832
1934-10-16T00:00:00Z,1934,"Anchovy, Northern",All,1695
1934-11-16T00:00:00Z,1934,"Anchovy, Northern",All,2525
1934-12-16T00:00:00Z,1934,"Anchovy, Northern",All,450
1935-01-16T00:00:00Z,1935,"Anchovy, Northern",All,180
1935-02-16T00:00:00Z,1935,"Anchovy, Northern",All,0
1935-03-16T00:00:00Z,1935,"Anchovy, Northern",All,5128
1935-04-16T00:00:00Z,1935,"Anchovy, Northern",All,22105
1935-05-16T00:00:00Z,1935,"Anchovy, Northern",All,12535
1935-06-16T00:00:00Z,1935,"Anchovy, Northern",All,10917
1935-07-16T00:00:00Z,1935,"Anchovy, Northern",All,47855
1935-08-16T00:00:00Z,1935,"Anchovy, Northern",All,46440
1935-09-16T00:00:00Z,1935,"Anchovy, Northern",All,25910
1935-10-16T00:00:00Z,1935,"Anchovy, Northern",All,5795
1935-11-16T00:00:00Z,1935,"Anchovy, Northern",All,655
1935-12-16T00:00:00Z,1935,"Anchovy, Northern",All,1450
1936-01-16T00:00:00Z,1936,"Anchovy, Northern",All,7
1936-02-16T00:00:00Z,1936,"Anchovy, Northern",All,95
1936-03-16T00:00:00Z,1936,"Anchovy, Northern",All,3860
1936-04-16T00:00:00Z,1936,"Anchovy, Northern",All,25743
1936-05-16T00:00:00Z,1936,"Anchovy, Northern",All,20100
1936-06-16T00:00:00Z,1936,"Anchovy, Northern",All,25876
1936-07-16T00:00:00Z,1936,"Anchovy, Northern",All,58422
1936-08-16T00:00:00Z,1936,"Anchovy, Northern",All,35289
1936-09-16T00:00:00Z,1936,"Anchovy, Northern",All,23410
1936-10-16T00:00:00Z,1936,"Anchovy, Northern",All,2095
1936-11-16T00:00:00Z,1936,"Anchovy, Northern",All,15
1936-12-16T00:00:00Z,1936,"Anchovy, Northern",All,210
1937-01-16T00:00:00Z,1937,"Anchovy, Northern",All,6668
1937-02-16T00:00:00Z,1937,"Anchovy, Northern",All,90
1937-03-16T00:00:00Z,1937,"Anchovy, Northern",All,14460
1937-04-16T00:00:00Z,1937,"Anchovy, Northern",All,20795
1937-05-16T00:00:00Z,1937,"Anchovy, Northern",All,53929
1937-06-16T00:00:00Z,1937,"Anchovy, Northern",All,23323
1937-07-16T00:00:00Z,1937,"Anchovy, Northern",All,11845
1937-08-16T00:00:00Z,1937,"Anchovy, Northern",All,5944
1937-09-16T00:00:00Z,1937,"Anchovy, Northern",All,12540
1937-10-16T00:00:00Z,1937,"Anchovy, Northern",All,2145
1937-11-16T00:00:00Z,1937,"Anchovy, Northern",All,20945
1937-12-16T00:00:00Z,1937,"Anchovy, Northern",All,53545
1938-01-16T00:00:00Z,1938,"Anchovy, Northern",All,50769
1938-02-16T00:00:00Z,1938,"Anchovy, Northern",All,2902
1938-03-16T00:00:00Z,1938,"Anchovy, Northern",All,4407
1938-04-16T00:00:00Z,1938,"Anchovy, Northern",All,41979
1938-05-16T00:00:00Z,1938,"Anchovy, Northern",All,135062
1938-06-16T00:00:00Z,1938,"Anchovy, Northern",All,77489
1938-07-16T00:00:00Z,1938,"Anchovy, Northern",All,3250
1938-08-16T00:00:00Z,1938,"Anchovy, Northern",All,18755
1938-09-16T00:00:00Z,1938,"Anchovy, Northern",All,35038
1938-10-16T00:00:00Z,1938,"Anchovy, Northern",All,118500
1938-11-16T00:00:00Z,1938,"Anchovy, Northern",All,49750
1938-12-16T00:00:00Z,1938,"Anchovy, Northern",All,197243
1939-01-16T00:00:00Z,1939,"Anchovy, Northern",All,17562
1939-02-16T00:00:00Z,1939,"Anchovy, Northern",All,6385
1939-03-16T00:00:00Z,1939,"Anchovy, Northern",All,99014
1939-04-16T00:00:00Z,1939,"Anchovy, Northern",All,68297
1939-05-16T00:00:00Z,1939,"Anchovy, Northern",All,34532
1939-06-16T00:00:00Z,1939,"Anchovy, Northern",All,15685
1939-07-16T00:00:00Z,1939,"Anchovy, Northern",All,11265
1939-08-16T00:00:00Z,1939,"Anchovy, Northern",All,12936
1939-09-16T00:00:00Z,1939,"Anchovy, Northern",All,167283
1939-10-16T00:00:00Z,1939,"Anchovy, Northern",All,829704
1939-11-16T00:00:00Z,1939,"Anchovy, Northern",All,385754
1939-12-16T00:00:00Z,1939,"Anchovy, Northern",All,499484
1940-01-16T00:00:00Z,1940,"Anchovy, Northern",All,532804
1940-02-16T00:00:00Z,1940,"Anchovy, Northern",All,346227
1940-03-16T00:00:00Z,1940,"Anchovy, Northern",All,119668
1940-04-16T00:00:00Z,1940,"Anchovy, Northern",All,9169
